mal_id,title_english,type,source,episodes,status,airing,rating,score,scored_by,rank,popularity,members,favorites,year,genres,studios
1,Cowboy Bebop,TV,Original,26,Finished Airing,FALSE,R - 17+ (violence & profanity),8.75,1052474,47,42,2037770,89098,1998,"Action, Award Winning, Sci-Fi",Sunrise
5,Cowboy Bebop: The Movie,Movie,Original,1,Finished Airing,FALSE,R - 17+ (violence & profanity),8.38,230687,241,654,408768,1773,,"Action, Sci-Fi",Bones
6,Trigun,TV,Manga,26,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.22,398767,407,264,827447,17494,1998,"Action, Adventure, Sci-Fi",Madhouse
18,Initial D Fourth Stage,TV,Manga,24,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.17,118322,466,1301,212751,1423,2004,"Action, Drama",A.C.G.T.
19,Monster,TV,Manga,74,Finished Airing,FALSE,R+ - Mild Nudity,8.89,502743,25,119,1308032,61307,2004,"Drama, Mystery, Suspense",Madhouse
21,One Piece,TV,Manga,,Currently Airing,TRUE,PG-13 - Teens 13 or older,8.73,1508303,52,17,2643713,249284,1999,"Action, Adventure, Fantasy",Toei Animation
30,Neon Genesis Evangelion,TV,Original,26,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.37,1201625,248,45,2007001,116733,1995,"Avant Garde, Award Winning, Drama, Sci-Fi, Suspense","Gainax, Tatsunoko Production"
32,Neon Genesis Evangelion: The End of Evangelion,Movie,Original,1,Finished Airing,FALSE,R+ - Mild Nudity,8.57,688930,122,177,1031056,32121,,"Avant Garde, Drama, Sci-Fi, Suspense","Gainax, Production I.G"
33,Berserk,TV,Manga,25,Finished Airing,FALSE,R+ - Mild Nudity,8.61,407982,104,301,756980,31400,1997,"Action, Adventure, Drama, Fantasy, Horror",OLM
43,Ghost in the Shell,Movie,Manga,1,Finished Airing,FALSE,R+ - Mild Nudity,8.27,359266,347,339,697925,14221,,"Award Winning, Mystery, Sci-Fi, Suspense",Production I.G
44,Samurai X: Trust and Betrayal,OVA,Manga,4,Finished Airing,FALSE,R - 17+ (violence & profanity),8.69,143969,66,945,291401,6447,,"Action, Drama, Romance",Studio Deen
45,Rurouni Kenshin,TV,Manga,94,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.27,247400,340,480,522768,10368,1996,"Action, Comedy, Romance","Gallop, Studio Deen"
57,Beck: Mongolian Chop Squad,TV,Manga,26,Finished Airing,FALSE,R - 17+ (violence & profanity),8.29,150268,330,727,372835,9161,2004,Drama,Madhouse
136,Hunter x Hunter,TV,Manga,62,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.43,312487,204,381,643121,12117,1999,"Action, Adventure, Fantasy",Nippon Animation
137,Hunter x Hunter: Original Video Animation,OVA,Manga,8,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.31,70314,302,1897,136506,439,,"Action, Adventure, Fantasy",Nippon Animation
138,Hunter x Hunter: Greed Island,OVA,Manga,8,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.18,92040,458,1509,181394,321,,"Action, Adventure, Fantasy",Nippon Animation
139,Hunter x Hunter: Greed Island Final,OVA,Manga,14,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.25,83472,367,1692,156281,260,,"Action, Adventure, Fantasy",Nippon Animation
164,Princess Mononoke,Movie,Original,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.67,882094,80,106,1370154,24069,,"Action, Adventure, Award Winning, Fantasy",Studio Ghibli
170,Slam Dunk,TV,Manga,101,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.55,150548,131,822,335363,8095,1993,Sports,Toei Animation
185,Initial D First Stage,TV,Manga,26,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.36,216426,257,605,435241,13837,1998,"Action, Drama","Gallop, Studio Comet"
186,Initial D Second Stage,TV,Manga,13,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.19,151370,443,1068,260669,1207,1999,"Action, Drama",Pastel
199,Spirited Away,Movie,Original,1,Finished Airing,FALSE,PG - Children,8.77,1402968,43,44,2012734,34953,,"Adventure, Award Winning, Fantasy",Studio Ghibli
205,Samurai Champloo,TV,Original,26,Finished Airing,FALSE,R - 17+ (violence & profanity),8.52,682150,151,112,1340754,40869,2004,"Action, Adventure, Comedy",Manglobe
232,Cardcaptor Sakura,TV,Manga,70,Finished Airing,FALSE,PG - Children,8.18,233152,453,533,482783,14696,1998,"Adventure, Comedy, Drama, Romance",Madhouse
235,Case Closed,TV,Manga,,Currently Airing,TRUE,PG-13 - Teens 13 or older,8.18,169328,462,721,375729,15969,1996,"Adventure, Comedy, Mystery",TMS Entertainment
245,Great Teacher Onizuka,TV,Manga,43,Finished Airing,FALSE,R - 17+ (violence & profanity),8.68,445783,74,221,911992,28580,1999,Comedy,Studio Pierrot
263,Fighting Spirit,TV,Manga,75,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.78,338379,37,349,685352,24996,2000,Sports,Madhouse
264,Fighting Spirit: Champion Road,TV Special,Manga,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.25,94131,365,1697,155840,277,,Sports,Madhouse
265,Fighting Spirit: Mashiba vs. Kimura,OVA,Manga,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.25,77414,366,2000,126591,234,,Sports,Madhouse
329,Planetes,TV,Manga,26,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.24,82747,385,998,278322,4100,2003,"Award Winning, Drama, Romance, Sci-Fi",Sunrise
338,The Rose of Versailles,TV,Manga,40,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.35,33949,265,2172,113594,3398,1979,"Drama, Romance",Tokyo Movie Shinsha
372,Cardcaptor Sakura Movie 2: The Sealed Card,Movie,Manga,1,Finished Airing,FALSE,PG - Children,8.21,70547,416,2043,123251,502,,"Award Winning, Comedy, Drama, Romance",Madhouse
392,Yu Yu Hakusho: Ghost Files,TV,Manga,112,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.46,356064,183,304,748080,24559,1992,"Action, Supernatural",Studio Pierrot
431,Howl's Moving Castle,Movie,Novel,1,Finished Airing,FALSE,G - All Ages,8.67,1017759,77,99,1476866,31572,,"Adventure, Award Winning, Drama, Fantasy, Romance",Studio Ghibli
437,Perfect Blue,Movie,Novel,1,Finished Airing,FALSE,R+ - Mild Nudity,8.55,437012,138,274,811000,21728,,"Avant Garde, Award Winning, Drama, Horror, Suspense",Madhouse
440,Revolutionary Girl Utena,TV,Original,39,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.23,71422,392,1135,245706,9662,1997,"Award Winning, Drama",J.C.Staff
457,Mushi-Shi,TV,Manga,26,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.65,296516,82,225,899756,28265,2005,"Adventure, Mystery, Slice of Life, Supernatural",Artland
467,Ghost in the Shell: Stand Alone Complex,TV,Manga,26,Finished Airing,FALSE,R - 17+ (violence & profanity),8.42,171850,209,629,422045,8967,2002,"Award Winning, Mystery, Sci-Fi",Production I.G
486,Kino's Journey,TV,Light novel,13,Finished Airing,FALSE,R - 17+ (violence & profanity),8.28,105414,335,767,352848,7563,2003,"Adventure, Drama, Fantasy",A.C.G.T.
512,Kiki's Delivery Service,Movie,Novel,1,Finished Airing,FALSE,G - All Ages,8.23,425437,390,370,656497,6678,,"Adventure, Award Winning, Comedy, Drama, Fantasy",Studio Ghibli
513,Castle in the Sky,Movie,Original,1,Finished Airing,FALSE,PG - Children,8.26,332915,354,466,533661,4805,,"Adventure, Award Winning, Fantasy",Studio Ghibli
523,My Neighbor Totoro,Movie,Original,1,Finished Airing,FALSE,G - All Ages,8.25,751837,369,144,1155647,9212,,"Adventure, Award Winning, Supernatural",Studio Ghibli
558,Major S2,TV,Manga,26,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.17,47711,470,2796,76370,312,2006,Sports,Studio Hibari
572,Nausicaä of the Valley of the Wind,Movie,Manga,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.36,256532,261,652,411408,6055,,"Adventure, Award Winning, Drama, Fantasy",Topcraft
578,Grave of the Fireflies,Movie,Novel,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.54,454881,141,300,758991,9113,,Drama,Studio Ghibli
585,Whisper of the Heart,Movie,Manga,1,Finished Airing,FALSE,G - All Ages,8.22,227793,404,665,403869,5691,,"Drama, Romance",Studio Ghibli
627,Major S1,TV,Manga,26,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.2,53974,426,2240,107732,1438,2004,Sports,Studio Hibari
759,Tokyo Godfathers,Movie,Original,1,Finished Airing,FALSE,R+ - Mild Nudity,8.29,164141,326,843,328234,2997,,"Award Winning, Comedy, Drama",Madhouse
777,Hellsing Ultimate,OVA,Manga,10,Finished Airing,FALSE,R - 17+ (violence & profanity),8.34,521997,276,182,1010860,23539,,"Action, Horror, Supernatural","Madhouse, Satelight, Graphinica"
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,TV,Manga,26,Finished Airing,FALSE,R - 17+ (violence & profanity),8.51,108963,156,1165,240850,3279,2004,"Mystery, Sci-Fi",Production I.G
